,urlid,alchemy_category,commonlinkratio_1,commonlinkratio_2,commonlinkratio_3,commonlinkratio_4,compression_ratio,embed_ratio,framebased,frameTagRatio,hasDomainLink,html_ratio,image_ratio,linkwordscore,non_markup_alphanum_characters,numberOfLinks,numwords_in_url,parametrizedLinkRatio,spelling_errors_ratio,title_len,body_len,sent_title
0,4042,3,0.676470588,0.205882353,0.047058824,0.023529412,0.443783175,0.0,0,0.09077381,0,0.245831182,0.003883495,24,5424,170,8,0.152941176,0.079129575,102,6215,1
1,8471,1,0.50802139,0.288770053,0.213903743,0.144385027,0.468648998,0.0,0,0.098707403,0,0.203489628,0.088652482,40,4973,187,9,0.181818182,0.125448029,244,3092,1
2,1164,4,0.562015504,0.321705426,0.120155039,0.042635659,0.525448029,0.0,0,0.072447859,0,0.22640177,0.120535714,55,2240,258,11,0.166666667,0.057613169,79,1391,1
3,6684,4,0.4,0.1,0.016666667,0.0,0.480724749,0.0,0,0.095860566,0,0.265655744,0.035343035,24,2737,120,5,0.041666667,0.100858369,35,2594,0
4,9006,5,0.5,0.222222222,0.12345679,0.043209877,0.446143274,0.0,0,0.024908425,0,0.228887247,0.050473186,14,12032,162,10,0.098765432,0.082568807,79,11642,0
5,7018,0,0.745454545,0.581818182,0.290909091,0.018181818,0.434639175,0.0,0,0.01984127,0,0.298299595,0.038636364,12,4368,55,3,0.054545455,0.087356322,25,2425,1
6,8685,2,0.215053763,0.053763441,0.043010753,0.043010753,0.579596413,0.0,0,0.039568345,0,0.218978009,0.311377246,21,1287,93,3,0.548387097,0.064327485,33,892,1
7,3402,0,0.71969697,0.265151515,0.113636364,0.015151515,0.49934811,0.0,0,0.02661597,0,0.173745927,0.025830258,5,27656,132,4,0.068181818,0.148550725,94,1534,1
8,477,0,0.190721649,0.036082474,0.0,0.0,0.383199079,0.0,0,0.021705426,0,0.11496229,1.136645963,17,2471,194,7,0.644329897,0.125,34,869,1
9,6731,0,0.469325153,0.101226994,0.018404908,0.003067485,0.465859401,0.0,0,0.012,0,0.205116573,0.20626151,14,11459,326,4,0.236196319,0.094412331,43,2973,0
10,2293,3,0.637755102,0.293367347,0.091836735,0.048469388,0.592321755,0.0,0,0.056497175,0,0.223003543,0.511363636,53,4401,392,0,0.160714286,0.073684211,55,547,1
11,3651,5,0.64,0.426666667,0.32,0.293333333,0.521064302,0.004065041,0,0.162689805,0,0.24691196,0.06097561,40,2701,75,8,0.186666667,0.115384615,54,1353,0
12,1917,4,0.595588235,0.227941176,0.044117647,0.014705882,0.573109244,0.0,0,0.074576271,0,0.236280941,0.08411215,64,1062,136,9,0.169117647,0.180327869,30,595,2
13,1063,0,0.0,0.0,0.0,0.0,21.0,-1.0,0,0.057692308,0,0.328343661,-1.0,0,4091,5,11,0.0,0.083333333,1,1,1
14,2110,1,0.547413793,0.206896552,0.056034483,0.017241379,0.473964868,0.0,0,0.078431373,1,0.205378622,0.036423841,37,3610,232,11,0.215517241,0.080204778,79,3188,1
15,5318,1,0.522522523,0.108108108,0.009009009,0.0,0.414154653,0.0,0,0.054992764,0,0.189932886,0.075630252,54,883,222,4,0.013513514,0.059602649,187,763,1
16,9842,1,0.068965517,0.0,0.0,0.0,0.478354978,0.0,0,0.157575758,0,0.310008857,0.276315789,50,268,58,2,0.137931034,0.107142857,35,462,0
17,3946,2,0.421052632,0.178947368,0.042105263,0.0,0.462994836,0.0,0,0.099778271,0,0.232048045,0.275862069,49,852,95,8,0.305263158,0.139737991,0,581,1
18,334,1,0.586206897,0.275862069,0.172413793,0.149425287,0.520414776,0.0,0,0.035864979,0,0.265881624,0.091549296,23,3509,87,2,0.402298851,0.09057971,29,1543,1
19,271,4,0.669064748,0.237410072,0.064748201,0.021582734,0.56279509,0.0,0,0.07345576,0,0.247035291,0.053254438,55,1511,139,9,0.165467626,0.065217391,53,1059,1
20,6984,5,0.515555556,0.297777778,0.186666667,0.106666667,0.412429379,0.0,0,0.064489112,0,0.212927811,0.693181818,53,3243,225,6,0.208888889,0.043859649,119,531,0
21,8979,1,0.516129032,0.172043011,0.043010753,0.0,0.909836066,0.0,0,0.105577689,0,0.229413592,0.863636364,31,1927,93,5,0.043010753,0.078947368,46,122,1
22,1502,4,0.0,0.0,0.0,0.0,0.468309859,0.0,0,0.041262136,0,0.168818229,0.062962963,3,1766,11,2,0.090909091,0.084175084,160,1704,1
23,8945,0,0.978757515,0.895791583,0.669138277,0.422044088,0.248915158,0.000236,0,0.002975637,0,0.114361006,0.008274232,85,20757,4990,6,0.992785571,0.157953592,43,26732,1
24,2839,0,0.552631579,0.149122807,0.052631579,0.01754386,21.0,-1.0,0,0.081314879,0,0.254886052,-1.0,20,3760,114,5,0.043859649,0.0,1,1,1
25,1499,5,0.603448276,0.379310345,0.24137931,0.155172414,0.480519481,0.010638298,0,0.173210162,0,0.259285272,0.085106383,45,1802,58,9,0.155172414,0.055,48,1001,0
26,7298,5,0.488372093,0.290697674,0.081395349,0.023255814,0.573825503,0.0,0,0.007968127,0,0.348059033,0.004608295,98,21,86,0,0.0,0.128440367,19,1490,1
27,3294,3,0.505747126,0.298850575,0.183908046,0.137931034,0.421385706,0.0,0,0.00496963,0,0.256231197,0.004006869,2,67406,87,7,0.091954023,0.097297297,34,9165,1
28,2949,0,0.541176471,0.270588235,0.176470588,0.117647059,0.644171779,0.0,0,0.075471698,0,0.245831092,0.166666667,68,536,85,6,0.035294118,0.159574468,45,489,1
29,4156,0,0.504424779,0.427728614,0.02359882,0.0,0.401048493,0.0,0,0.032291667,0,0.144492064,1.18487395,80,490,339,4,0.005899705,0.033112583,204,763,1
30,1391,1,0.356643357,0.13986014,0.055944056,0.027972028,0.571005917,0.0,0,0.027027027,0,0.228713696,0.230769231,11,9935,143,2,0.027972028,0.198412698,32,676,1
31,2152,1,0.451327434,0.168141593,0.10619469,0.053097345,0.4375,0.0,0,0.055214724,0,0.257944809,0.087824351,12,5500,113,4,0.159292035,0.086065574,46,2944,0
32,8004,0,0.421965318,0.306358382,0.011560694,0.0,0.527264325,0.0,0,0.03820598,0,0.233130593,0.110275689,28,2531,173,3,0.202312139,0.095115681,24,2164,0
33,2807,3,0.447513812,0.20718232,0.074585635,0.03038674,0.828025478,0.0,0,0.027660854,0,0.191917306,3.625,35,4809,362,6,0.472375691,0.085106383,111,157,1
34,497,1,0.583333333,0.324074074,0.12962963,0.037037037,0.514041514,0.0,0,0.082568807,0,0.204442786,0.270072993,44,3225,216,16,0.189814815,0.039772727,164,819,1
35,3201,0,0.59375,0.171875,0.0625,0.046875,0.45,0.0,0,0.084805654,0,0.259424984,0.005976096,18,2419,64,0,0.0,0.089249493,39,2880,1
36,6704,0,0.707317073,0.33604336,0.119241192,0.051490515,0.478082192,0.0,0,0.046441948,0,0.220510101,0.054187192,28,10422,369,6,0.067750678,0.083538084,70,2190,2
37,1650,2,0.417910448,0.114427861,0.004975124,0.004975124,0.569044006,0.0,0,0.040764331,0,0.256809688,0.183206107,37,2382,201,1,0.014925373,0.092307692,40,659,1
38,3561,0,0.54822335,0.23857868,0.106598985,0.040609137,0.285714286,0.0,0,0.05669145,0,0.188223998,0.175824176,52,1987,197,7,0.076142132,0.0,76,693,1
39,10154,4,0.569060773,0.149171271,0.055248619,0.027624309,0.430342385,0.0,0,0.035058431,0,0.243810822,0.01849711,25,4885,181,9,0.237569061,0.087616822,117,5082,2
40,7461,8,0.292307692,0.092307692,0.015384615,0.0,0.439756882,0.0,0,0.058227848,0,0.328052016,0.012345679,6,7456,65,1,0.046153846,0.089824561,25,8391,1
41,4064,1,0.498194946,0.202166065,0.028880866,0.02166065,0.510095238,0.00204918,0,0.008849558,0,0.233007607,0.100409836,22,8366,277,0,0.523465704,0.124726477,54,2625,0
42,8138,0,0.381818182,0.181818182,0.048484848,0.006060606,0.596837945,0.0,0,0.072669826,0,0.203740299,0.413533835,54,1200,165,5,0.139393939,0.06122449,81,759,0
43,383,4,0.214285714,0.071428571,0.014285714,0.0,0.445471349,0.0,0,0.070116861,1,0.258761956,0.314814815,5,9309,70,8,0.114285714,0.06185567,141,1082,1
44,1754,0,0.50591716,0.428994083,0.023668639,0.0,0.423620026,0.0,0,0.029319372,0,0.137165504,1.112,79,494,338,4,0.00591716,0.025,205,779,1
45,5053,5,0.365517241,0.2,0.072413793,0.055172414,0.464774951,0.0,0,0.022196262,0,0.149940034,0.918918919,76,1078,290,2,0.117241379,0.081081081,24,1022,1
46,4881,0,0.655737705,0.213114754,0.196721311,0.196721311,0.491408935,0.0,0,0.078947368,0,0.271765078,0.013355593,16,3457,61,0,0.049180328,0.094339623,17,3783,1
47,5483,0,0.427777778,0.205555556,0.061111111,0.019444444,0.989795918,0.0,0,0.026812919,0,0.187438789,5.25,33,4791,360,5,0.466666667,0.131578947,105,98,1
48,4089,5,0.445255474,0.284671533,0.211678832,0.167883212,0.358770718,0.0,0,0.041106719,0,0.262156988,0.014787431,30,12083,274,14,0.116788321,0.111320755,177,2896,1
49,4781,0,0.428571429,0.103896104,0.038961039,0.0,0.46393147,0.0,0,0.094736842,0,0.290880017,0.03379224,16,4191,77,6,0.324675325,0.13671875,55,4436,2
50,6657,3,0.166666667,0.0,0.0,0.0,0.461511547,0.0,0,0.125827815,0,0.35780892,0.009146341,4,4623,18,8,0.0,0.11261731,52,5716,1
51,4763,1,0.686131387,0.03649635,0.00729927,0.003649635,0.519774011,0.0,0,0.035453597,0,0.179364373,0.381443299,37,2493,274,5,0.01459854,0.111111111,44,531,0
52,5354,4,0.65625,0.302083333,0.09375,0.041666667,0.56036036,0.0,0,0.018083183,0,0.22628767,0.202380952,44,2131,96,0,0.0,0.021276596,65,555,1
53,8579,1,0.522058824,0.316176471,0.044117647,0.029411765,0.424012158,0.0,0,0.057034221,0,0.231050263,0.030405405,21,3920,136,4,0.051470588,0.056737589,89,3290,1
54,3880,4,0.684210526,0.255639098,0.037593985,0.015037594,0.466779279,0.0,0,0.07311828,0,0.267735644,0.011725293,34,2897,133,6,0.804511278,0.080536913,76,3552,1
55,7053,0,0.552419355,0.266129032,0.052419355,0.02016129,21.0,-1.0,0,0.044101433,0,0.265426121,-1.0,13,17131,248,13,0.366935484,0.235294118,1,1,1
56,6006,5,0.591397849,0.370967742,0.279569892,0.225806452,0.48865523,0.0,0,0.03030303,0,0.274790836,0.038580247,24,8191,186,6,0.064516129,0.082148499,75,3613,0
57,8197,9,0.103792415,0.063872255,0.003992016,0.0,0.473928158,0.0,0,0.009281876,0,0.173427509,0.008684864,2,28276,501,6,0.003992016,0.082914573,70,4315,1
58,9259,6,0.580152672,0.41221374,0.297709924,0.229007634,0.845588235,0.055555556,0,0.040860215,0,0.21120799,1.111111111,86,1113,262,0,0.183206107,0.076923077,58,136,1
59,1656,3,0.476190476,0.180952381,0.047619048,0.023809524,0.52530541,0.0,0,0.013615734,0,0.174186887,0.611111111,59,1029,210,0,0.523809524,0.065217391,21,573,0
60,6410,5,0.243697479,0.084033613,0.033613445,0.033613445,0.460307499,0.0,0,0.007462687,0,0.271262751,0.051482059,6,14182,119,2,0.025210084,0.072368421,27,3187,1
61,10530,2,0.166666667,0.075757576,0.050505051,0.03030303,0.417047184,0.0,0,0.057491289,0,0.144682597,1.223214286,64,562,198,4,0.035353535,0.151260504,60,653,2
62,8262,2,0.587096774,0.258064516,0.161290323,0.122580645,0.446401458,0.0,0,0.049032258,0,0.244977665,0.031100478,16,9671,155,8,0.180645161,0.131979695,53,6586,0
63,5526,3,0.566585956,0.191283293,0.065375303,0.031476998,0.423876652,0.0,0,0.040752351,0,0.221514644,0.018788163,24,10403,413,13,0.072639225,0.07778865,59,11349,1
64,1033,0,0.636363636,0.048484848,0.0,0.0,0.534351145,0.0,0,0.047830923,0,0.30860043,0.368421053,15,4372,165,8,0.096969697,0.078431373,74,1048,0
65,7822,0,0.638132296,0.389105058,0.19844358,0.085603113,0.542857143,0.007407407,0,0.027705628,0,0.19327272,0.466666667,35,3824,257,3,0.26848249,0.107913669,44,805,1
66,10119,0,0.510638298,0.244680851,0.042553191,0.021276596,0.456953642,0.0,0,0.090573013,0,0.277868363,0.431818182,72,915,94,0,0.531914894,0.007092199,37,1057,1
67,10207,6,0.771573604,0.385786802,0.329949239,0.30964467,0.50287687,0.0,0,0.038765823,0,0.17601314,0.271084337,14,10513,197,4,0.329949239,0.08,34,1738,0
68,8796,5,0.5,0.253968254,0.142857143,0.063492063,0.433668801,0.0,0,0.024596464,0,0.228811123,0.478494624,7,17082,126,7,0.047619048,0.099502488,71,1093,0
69,9297,0,0.526315789,0.210526316,0.090225564,0.037593985,0.545300593,0.0,0,0.046511628,0,0.208496341,0.631313131,18,5472,133,7,0.323308271,0.048543689,45,1181,1
70,3692,6,0.58974359,0.261538462,0.179487179,0.107692308,0.452855972,0.0,0,0.029478458,0,0.18617634,0.059485531,45,4370,195,9,0.112820513,0.106180666,94,3659,2
71,6928,0,0.636363636,0.404040404,0.262626263,0.121212121,0.468955651,0.0,0,0.043478261,0,0.234063561,0.094720497,14,8663,99,7,0.050505051,0.093097913,48,3495,1
72,4783,4,0.252336449,0.046728972,0.009345794,0.0,0.62283737,0.0,0,0.052873563,0,0.263929136,0.221052632,49,879,107,12,0.224299065,0.068376068,58,578,0
73,2989,8,0.591666667,0.266666667,0.133333333,0.075,0.0,-1.0,0,0.065957447,0,0.265870884,-1.0,30,3868,120,7,0.083333333,0.153846154,106,0,1
74,4981,1,0.336633663,0.217821782,0.158415842,0.128712871,0.414051427,0.0,0,0.053359684,0,0.252102467,0.045989305,11,5431,101,4,0.01980198,0.106164384,30,4939,1
75,8198,5,0.519230769,0.403846154,0.365384615,0.0,0.480106101,0.0,0,0.021961933,0,0.228712429,0.017725258,7,14364,104,4,0.423076923,0.109004739,39,3393,1
76,5039,3,0.786096257,0.106951872,0.032085561,0.005347594,0.490751227,0.0,0,0.060371517,0,0.238531699,0.03030303,28,2853,187,8,0.058823529,0.115618661,124,2648,1
77,8513,3,0.446666667,0.32,0.186666667,0.173333333,0.468774094,0.0,0,0.038523274,0,0.248972737,0.140625,22,6560,150,5,0.033333333,0.082758621,46,2594,1
